9-Sep-09	171.14
8-Sep-09	172.93
4-Sep-09	170.31
3-Sep-09	166.55
2-Sep-09	165.18
1-Sep-09	165.30
31-Aug-09	168.21
28-Aug-09	170.05
27-Aug-09	169.45
26-Aug-09	167.41
25-Aug-09	169.40
24-Aug-09	169.06
21-Aug-09	169.22
20-Aug-09	166.33
19-Aug-09	164.60
18-Aug-09	164.00
17-Aug-09	159.59
14-Aug-09	166.78
13-Aug-09	168.42
12-Aug-09	165.31
10-Aug-09	164.72
7-Aug-09	165.51
6-Aug-09	163.91
5-Aug-09	165.11
4-Aug-09	165.55
3-Aug-09	166.43
31-Jul-09	163.39
30-Jul-09	162.79
29-Jul-09	160.03
28-Jul-09	160.00
27-Jul-09	160.10
24-Jul-09	159.99
23-Jul-09	157.82
22-Jul-09	156.74
21-Jul-09	151.51
20-Jul-09	152.91
17-Jul-09	151.75
16-Jul-09	147.52
15-Jul-09	146.88
14-Jul-09	142.27
13-Jul-09	142.34
10-Jul-09	138.52
9-Jul-09	136.36
8-Jul-09	137.22
7-Jul-09	135.40
6-Jul-09	138.61
3-Jul-09	140.02
2-Jul-09	140.02
1-Jul-09	142.83
30-Jun-09	142.43
29-Jun-09	141.97
26-Jun-09	142.44
25-Jun-09	139.86
24-Jun-09	136.22
23-Jun-09	134.01
22-Jun-09	137.37
19-Jun-09	139.48
18-Jun-09	135.88
17-Jun-09	135.58
16-Jun-09	136.35
15-Jun-09	136.09
12-Jun-09	136.97
11-Jun-09	139.95
10-Jun-09	140.25
9-Jun-09	142.72
8-Jun-09	143.85
5-Jun-09	144.67
4-Jun-09	143.74
3-Jun-09	140.95
2-Jun-09	139.49
1-Jun-09	139.35
29-May-09	135.81
28-May-09	135.07
27-May-09	133.05
26-May-09	130.78
22-May-09	122.50
21-May-09	124.18
20-May-09	125.87
19-May-09	127.45
18-May-09	126.65
15-May-09	122.42
14-May-09	122.95
13-May-09	119.49
12-May-09	124.42
11-May-09	129.57
8-May-09	129.19
7-May-09	129.06
6-May-09	132.50
5-May-09	132.71
4-May-09	132.07
1-May-09	127.24
30-Apr-09	125.83
29-Apr-09	125.14
28-Apr-09	123.90
27-Apr-09	124.73
24-Apr-09	123.90
23-Apr-09	125.40
22-Apr-09	121.51
